szName	nPos	nClass	nLevel	nPropKind	Min1	Max1	Min2	Max2	Min3	Max3	szIntro	MeleeWeapon	RangeWeapon	Armor	Ring	Amorlet	Boots	Belt	Help	Cuff	Pendant	Horse
T¨ng tèc ®é ch¹y vµ ®i bé 	1		2	111	10	15	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		4	111	15	20	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		6	111	15	25	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		8	111	15	30	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		9	111	15	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	100000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		10	111	25	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Ph¶n ®ßn VËt lý 	1		3	117	1	10	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	10000	0	0	0	0	0	0	0	0
Ph¶n ®ßn VËt lý 	1		9	117	10	20	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	10000	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		3	113	20	20	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		6	113	30	30	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		9	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	15000	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		10	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		1	112	1	1	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		2	112	2	2	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		3	112	3	3	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		4	112	4	4	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		5	112	5	5	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng ph¹m vi s¸t th­¬ng	1		6	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng kü n¨ng	1		9	139	1	1	-1	-1	0	0	T¨ng kü n¨ng	0	0	0	0	0	0	0	0	0	0	0
T¨ng kü n¨ng	1		10	139	1	2	-1	-1	0	0	T¨ng kü n¨ng	1	0	0	1	0	0	0	0	0	0	0
t¨ng phßng thñ 	1		1	114	1	2	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	10000	0	0	0	0	0	0
t¨ng phßng thñ 	1		2	114	2	4	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	9000	0	0	0	0	0	0
t¨ng phßng thñ 	1		3	114	4	6	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	8000	0	0	0	0	0	0
t¨ng phßng thñ 	1		4	114	6	8	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	7000	0	0	0	0	0	0
t¨ng phßng thñ 	1		5	114	8	10	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	6000	0	0	0	0	0	0
t¨ng phßng thñ 	1		6	114	8	12	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	5000	0	0	0	0	0	0
t¨ng phßng thñ 	1		7	114	8	14	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	4000	0	0	0	0	0	0
t¨ng phßng thñ 	1		8	114	8	16	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	3000	0	0	0	0	0	0
t¨ng phßng thñ 	1		9	114	8	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	1000	0	0	0	0	0	0
t¨ng phßng thñ 	1		10	114	10	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	2000	0	0	0	0	0	0
hót Sinh lùc	1		2	136	1	3	-1	-1	0	0	hót Sinh lùc	600	600	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		5	136	1	5	-1	-1	0	0	hót Sinh lùc	600	600	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		7	136	1	7	-1	-1	0	0	hót Sinh lùc	600	600	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		9	136	1	10	-1	-1	0	0	hót Sinh lùc	600	600	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		10	136	7	10	-1	-1	0	0	hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		2	137	1	3	-1	-1	0	0	hót Néi lùc	200	200	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		5	137	1	5	-1	-1	0	0	hót Néi lùc	200	200	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		7	137	1	7	-1	-1	0	0	hót Néi lùc	200	200	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		9	137	1	10	-1	-1	0	0	hót Néi lùc	200	200	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		10	137	7	10	-1	-1	0	0	hót Néi lùc	600	600	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		1	85	5	20	-1	-1	0	0	T¨ng Sinh lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng Sinh lùc 	1		2	85	5	40	-1	-1	0	0	T¨ng Sinh lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
T¨ng Sinh lùc 	1		3	85	5	60	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc 	1		4	85	5	80	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Sinh lùc 	1		5	85	5	100	-1	-1	0	0	T¨ng Sinh lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
T¨ng Sinh lùc 	1		6	85	5	120	-1	-1	0	0	T¨ng Sinh lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Sinh lùc 	1		7	85	5	140	-1	-1	0	0	T¨ng Sinh lùc 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
T¨ng Sinh lùc 	1		8	85	5	160	-1	-1	0	0	T¨ng Sinh lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
T¨ng Sinh lùc 	1		9	85	5	200	-1	-1	0	0	T¨ng Sinh lùc 	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0
T¨ng Sinh lùc 	1		10	85	111	200	-1	-1	0	0	T¨ng Sinh lùc 	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
T¨ng Néi lùc 	1		1	89	5	20	-1	-1	0	0	T¨ng Néi lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
T¨ng Néi lùc 	1		2	89	5	40	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Néi lùc 	1		3	89	5	60	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng Néi lùc 	1		4	89	5	80	-1	-1	0	0	T¨ng Néi lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
T¨ng Néi lùc 	1		5	89	5	100	-1	-1	0	0	T¨ng Néi lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc 	1		6	89	5	120	-1	-1	0	0	T¨ng Néi lùc 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
T¨ng Néi lùc 	1		7	89	5	140	-1	-1	0	0	T¨ng Néi lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
T¨ng Néi lùc 	1		8	89	5	160	-1	-1	0	0	T¨ng Néi lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
T¨ng Néi lùc 	1		9	89	5	200	-1	-1	0	0	T¨ng Néi lùc 	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	0
T¨ng Néi lùc 	1		10	89	111	200	-1	-1	0	0	T¨ng Néi lùc 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
T¨ng thÓ lùc 	1		1	93	5	20	-1	-1	0	0	T¨ng thÓ lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
T¨ng thÓ lùc 	1		2	93	5	40	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
T¨ng thÓ lùc 	1		3	93	5	60	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
T¨ng thÓ lùc 	1		4	93	5	80	-1	-1	0	0	T¨ng thÓ lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
T¨ng thÓ lùc 	1		5	93	5	100	-1	-1	0	0	T¨ng thÓ lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng thÓ lùc 	1		6	93	5	120	-1	-1	0	0	T¨ng thÓ lùc 	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
T¨ng thÓ lùc 	1		7	93	5	140	-1	-1	0	0	T¨ng thÓ lùc 	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
T¨ng thÓ lùc 	1		8	93	5	160	-1	-1	0	0	T¨ng thÓ lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
T¨ng thÓ lùc 	1		9	93	5	200	-1	-1	0	0	T¨ng thÓ lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
T¨ng thÓ lùc 	1		10	93	111	200	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0
T¨ng tèc ®é håi phôc Sinh lùc	1		1	88	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	2000	0	0	2000	2000	2000	2000	0	0
T¨ng tèc ®é håi phôc Sinh lùc	1		3	88	1	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1800	0	0	1800	1800	1800	1800	0	0
T¨ng tèc ®é håi phôc Sinh lùc	1		5	88	1	3	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1500	0	0	1500	1500	1500	1500	0	0
T¨ng tèc ®é håi phôc Sinh lùc	1		6	88	1	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1000	0	0	1000	1000	1000	1000	0	0
T¨ng tèc ®é håi phôc Sinh lùc	1		9	88	1	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	500	0	0	500	500	500	500	0	0
T¨ng tèc ®é håi phôc Sinh lùc	1		10	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100	0	0	100	100	100	100	0	0
T¨ng tèc ®é håi phôc Néi lùc	1		2	92	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	3500	0
T¨ng tèc ®é håi phôc Néi lùc	1		5	92	1	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	3000	0
T¨ng tèc ®é håi phôc Néi lùc	1		7	92	1	3	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	2500	0
T¨ng tèc ®é håi phôc Néi lùc	1		10	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	2000	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		1	96	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		3	96	1	3	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		5	96	1	5	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		6	96	1	7	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
T¨ng tèc ®é håi phôc ThÓ lùc	1		7	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
t¨ng søc m¹nh	0	0	1	97	1	2	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0
t¨ng søc m¹nh	0	0	2	97	1	4	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	90000	90000	0	0	0	0	90000	0
t¨ng søc m¹nh	0	0	3	97	1	6	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	80000	80000	0	0	0	0	80000	0
t¨ng søc m¹nh	0	0	4	97	1	8	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	70000	70000	0	0	0	0	70000	0
t¨ng søc m¹nh	0	0	5	97	1	10	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	60000	60000	0	0	0	0	60000	0
t¨ng søc m¹nh	0	0	6	97	1	12	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	50000	50000	0	0	0	0	50000	0
t¨ng søc m¹nh	0	0	7	97	1	14	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	40000	40000	0	0	0	0	40000	0
t¨ng søc m¹nh	0	0	8	97	1	16	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	30000	30000	0	0	0	0	30000	0
t¨ng søc m¹nh	0	0	9	97	1	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
t¨ng søc m¹nh	0	0	10	97	11	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0
t¨ng s¸t th­¬ng VËt lý 	0	0	1	121	1	5	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	100000	100000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	2	121	1	10	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	90000	90000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	3	121	1	15	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	90000	90000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	4	121	1	20	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	80000	80000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	5	121	1	25	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	70000	70000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	6	121	1	30	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	60000	60000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	7	121	1	35	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	40000	40000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	8	121	1	40	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	30000	30000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	9	121	1	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	10000	10000	0	0	0	0	0	0	0	0	0
t¨ng s¸t th­¬ng VËt lý 	0	0	10	121	25	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	5000	5000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	1	125	1	5	-1	-1	0	0	T¨ng s¸t §éc s¸t	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	2	125	1	10	-1	-1	0	0	T¨ng s¸t §éc s¸t	90000	90000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	3	125	1	15	-1	-1	0	0	T¨ng s¸t §éc s¸t	90000	90000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	4	125	1	20	-1	-1	0	0	T¨ng s¸t §éc s¸t	80000	80000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	5	125	1	25	-1	-1	0	0	T¨ng s¸t §éc s¸t	70000	70000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	6	125	1	30	-1	-1	0	0	T¨ng s¸t §éc s¸t	60000	60000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	7	125	1	35	-1	-1	0	0	T¨ng s¸t §éc s¸t	40000	40000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	8	125	1	40	-1	-1	0	0	T¨ng s¸t §éc s¸t	30000	30000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	9	125	1	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	10000	10000	0	0	0	0	0	0	0	0	0
T¨ng s¸t §éc s¸t	0	1	10	125	25	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	5000	5000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	1	123	1	10	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	2	123	1	20	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	90000	90000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	3	123	1	30	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	90000	90000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	4	123	1	40	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	80000	80000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	5	123	1	50	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	70000	70000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	6	123	1	60	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	60000	60000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	7	123	1	70	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	40000	40000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	8	123	1	80	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	30000	30000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	9	123	1	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	10000	10000	0	0	0	0	0	0	0	0	0
T¨ng s¸t B¨ng s¸t	0	2	10	123	50	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	5000	5000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	1	122	1	10	-1	-1	0	0	T¨ng Ho¶ s¸t	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	2	122	1	20	-1	-1	0	0	T¨ng Ho¶ s¸t	90000	90000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	3	122	1	30	-1	-1	0	0	T¨ng Ho¶ s¸t	90000	90000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	4	122	1	40	-1	-1	0	0	T¨ng Ho¶ s¸t	80000	80000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	5	122	1	50	-1	-1	0	0	T¨ng Ho¶ s¸t	70000	70000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	6	122	1	60	-1	-1	0	0	T¨ng Ho¶ s¸t	60000	60000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	7	122	1	70	-1	-1	0	0	T¨ng Ho¶ s¸t	40000	40000	0	0	0	0	0	0	0	0	0
T¨ng Ho¶ s¸t	0	3	8	122	1	80	-1	-1	0	0	T¨ng Ho¶ s¸t	30000	30000	0	0	0	0	0	0	0	0	0
