头盔编号	部件编号	
146	15	金枫之青阳盔
147	15	金枫之青阳盔
148	15	金枫之青阳盔
149	15	金枫之青阳盔
150	15	金枫之青阳盔
151	15	金枫之青阳盔
152	13	定国之钨砂发冠
153	13	定国之钨砂发冠
154	13	定国之钨砂发冠
155	13	定国之钨砂发冠
156	13	定国之钨砂发冠
157	13	定国之钨砂发冠
158	13	定国之钨砂发冠
159	13	定国之钨砂发冠
160	13	定国之钨砂发冠
161	13	定国之钨砂发冠
162	2	梦龙之正黄僧帽+1
163	2	梦龙之正黄僧帽+2
164	2	梦龙之正黄僧帽+3
165	2	梦龙之正黄僧帽+4
166	2	梦龙之正黄僧帽+5
167	2	梦龙之正黄僧帽+6
168	2	梦龙之正黄僧帽+7
169	2	梦龙之正黄僧帽+8
170	3	梦龙之正黄僧帽+9
171	4	[天赐的]梦龙之正黄僧帽
172	14	撼天之武神镶金盔+1
173	14	撼天之武神镶金盔+2
174	14	撼天之武神镶金盔+3
175	14	撼天之武神镶金盔+4
176	14	撼天之武神镶金盔+5
177	14	撼天之武神镶金盔+6
178	14	撼天之武神镶金盔+7
179	14	撼天之武神镶金盔+8
180	15	撼天之武神镶金盔+9
181	16	[天赐的]撼天之武神镶金
182	11	地魄之五行连环冠+1
183	11	地魄之五行连环冠+2
184	11	地魄之五行连环冠+3
185	11	地魄之五行连环冠+4
186	11	地魄之五行连环冠+5
187	11	地魄之五行连环冠+6
188	11	地魄之五行连环冠+7
189	11	地魄之五行连环冠+8
190	12	地魄之五行连环冠+9
191	13	[天赐的]地魄之五行连环冠
192	17	幽胧之金蛇发带+1
193	17	幽胧之金蛇发带+2
194	17	幽胧之金蛇发带+3
195	17	幽胧之金蛇发带+4
196	17	幽胧之金蛇发带+5
197	17	幽胧之金蛇发带+6
198	17	幽胧之金蛇发带+7
199	17	幽胧之金蛇发带+8
200	18	幽胧之金蛇发带+9
201	19	[天赐的]幽胧之金蛇发带
202	17	无尘之玉女素心冠+1
203	17	无尘之玉女素心冠+2
204	17	无尘之玉女素心冠+3
205	17	无尘之玉女素心冠+4
206	17	无尘之玉女素心冠+5
207	17	无尘之玉女素心冠+6
208	17	无尘之玉女素心冠+7
209	17	无尘之玉女素心冠+8
210	18	无尘之玉女素心冠+9
211	19	[天赐的]无尘之玉女素心冠
212	8	栖凰之银丝头环+1
213	8	栖凰之银丝头环+2
214	8	栖凰之银丝头环+3
215	8	栖凰之银丝头环+4
216	8	栖凰之银丝头环+5
217	8	栖凰之银丝头环+6
218	8	栖凰之银丝头环+7
219	8	栖凰之银丝头环+8
220	9	栖凰之银丝头环+9
221	10	[天赐的]栖凰之银丝头环
222	20	同仇之飞龙头环+1
223	20	同仇之飞龙头环+2
224	20	同仇之飞龙头环+3
225	20	同仇之飞龙头环+4
226	20	同仇之飞龙头环+5
227	20	同仇之飞龙头环+6
228	20	同仇之飞龙头环+7
229	20	同仇之飞龙头环+8
230	21	同仇之飞龙头环+9
231	22	[天赐的]同仇之飞龙头环
232	8	魔嗜之烈焰冠冕+1
233	8	魔嗜之烈焰冠冕+2
234	8	魔嗜之烈焰冠冕+3
235	8	魔嗜之烈焰冠冕+4
236	8	魔嗜之烈焰冠冕+5
237	8	魔嗜之烈焰冠冕+6
238	8	魔嗜之烈焰冠冕+7
239	8	魔嗜之烈焰冠冕+8
240	9	魔嗜之烈焰冠冕+9
241	10	[天赐的]魔嗜之烈焰冠冕
242	5	凌岳之怒雷法冠+1
243	5	凌岳之怒雷法冠+2
244	5	凌岳之怒雷法冠+3
245	5	凌岳之怒雷法冠+4
246	5	凌岳之怒雷法冠+5
247	5	凌岳之怒雷法冠+6
248	5	凌岳之怒雷法冠+7
249	5	凌岳之怒雷法冠+8
250	6	凌岳之怒雷法冠+9
251	7	[天赐的]凌岳之怒雷法冠
252	5	雷穹之寒松冰柏冠+1
253	5	雷穹之寒松冰柏冠+2
254	5	雷穹之寒松冰柏冠+3
255	5	雷穹之寒松冰柏冠+4
256	5	雷穹之寒松冰柏冠+5
257	5	雷穹之寒松冰柏冠+6
258	5	雷穹之寒松冰柏冠+7
259	5	雷穹之寒松冰柏冠+8
260	6	雷穹之寒松冰柏冠+9
261	7	[天赐的]雷穹之寒松冰柏冠
262	4	<color=red>玄天冠<color>
263	16	<color=red>玄天冠<color>
264	19	<color=red>玄天冠<color>
265	10	<color=red>玄天冠<color>
266	22	<color=red>玄天冠<color>
267	7	<color=red>玄天冠<color>
268	8	<color=red>玄天冠<color>
269	9	<color=red>玄天冠<color>
270	18	<color=red>玄天冠<color>
271	13	<color=red>玄天冠<color>
272	13	<color=pink>大马虎之摘星环[1]<color>
273	13	<color=pink>大马虎之摘星环[2]<color>
274	13	<color=pink>大马虎之摘星环[3]<color>
275	13	<color=pink>大马虎之摘星环[4]<color>
276	13	<color=pink>大马虎之摘星环[5]<color>
277	13	<color=pink>大马虎之摘星环[6]<color>
278	13	<color=pink>大马虎之摘星环[7]<color>
279	13	<color=pink>大马虎之摘星环[8]<color>
280	13	<color=pink>大马虎之摘星环[9]<color>
281	13	<color=pink>大马虎之摘星环[10]<color>
