Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Stack	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6
§éc C¬ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao th«ng th­êng nh­ng cã tÈm thuèc ®éc. 		300	9	1	28	36	36	29	83	83	167	-20	-20	31	50	50										36	72	32	99	33	110						
To¸i NguyÖt §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao nhá vµ máng, phãng ra gièng nh­ v« h×nh. 		330	10	1	28	40	40	29	91	91	167	-20	-20	31	50	50										36	81	32	109	33	120						
Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	GiÊu trong èng s¸o, khi thæi vµo sÏ phãng ra, nh­ng kh¶ n¨ng s¸t th­¬ng thÊp. 		150	1	0	28	8	8	29	13	13	167	0	0	31	28	28										36	0	32	15	33	35						
Tóc §Ó Ch©m	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	GiÊu d­íi lßng bµn ch©n, khi nhÊc ch©n lªn sÏ phãng, rÊt khã ®Ò phßng. 		400	2	0	28	11	11	29	22	22	167	0	0	31	46	46										36	9	32	20	33	50						
Tinh Trang Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	Lµ lo¹i tô tiÔn nh­ng søc phãng ®i rÊt m¹nh. 		1000	3	0	28	16	16	29	32	32	167	0	0	31	42	42										36	18	32	25	33	70						
Thanh Phong §inh	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	Lo¹i kim giÊu trong èng ®ång, khi thæi vµo sÏ phãng ®i, rÊt khã phßng bÞ. 		1600	4	0	28	19	19	29	40	40	167	0	0	31	65	65										36	27	32	30	33	90						
Bèi Trang Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart22.spr	16	2	2	Lo¹i ¸m khÝ nguy hiÓm giÊu trªn l­ng, khi cói ®Çu sÏ phãng ra, rÊt khã phßng bÞ. 		3000	5	0	28	23	23	29	48	48	167	0	0	31	88	88										36	36	32	35	33	110						
Hµm Sa X¹ ¶nh	0	1	2	\spr\item\equip\rangeweapon\obj-adart25.spr	17	2	2	GiÊu phÝa tr­íc ngùc, phãng ra rÊt khã ®Ò phßng, lµ lo¹i ¸m khÝ rÊt lîi h¹i. 		3500	6	0	28	27	27	29	58	58	167	0	0	31	84	84										36	45	32	40	33	130						
Ph¸ Gi¸p Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart22.spr	16	2	2	Lo¹i ná cã søc c«ng ph¸ kinh ng­êi, cã thÓ b¾n xuyªn gi¸p s¾t. 		6500	7	0	28	31	31	29	67	67	167	0	0	31	118	118										36	54	32	45	33	150						
B¹o Vò Lª Hoa Ch©m	0	1	2	\spr\item\equip\rangeweapon\obj-adart25.spr	17	2	2	§éc m«n ¸m khÝ cña §­êng m«n, sè l­îng nhiÒu, søc c«ng ph¸ m¹nh, ®· tõng x­ng hïng mét thêi. 		7500	8	0	28	35	35	29	76	76	167	0	0	31	103	103										36	63	32	50	33	170						
Gia C¸t Nç	0	1	2	\spr\item\equip\rangeweapon\obj-adart23.spr	16	2	2	C¶i biÕn l¹i tõ d¹ng ná thêi Vò HËu, c­êng lùc rÊt m¹nh. 		10000	9	0	28	38	38	29	85	85	167	0	0	31	148	148										36	72	32	55	33	190						
Khæng T­íc Linh	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Lo¹i ¸m khÝ thÇn bÝ, ng­êi tróng ph¶i chÕt kh«ng thÓ cøu. 		15000	10	0	28	42	42	29	93	93	167	0	0	31	121	121										36	81	32	60	33	210						
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	1	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	2	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	3	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	4	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	5	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	6	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	7	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	8	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	9	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
Truy MÖnh Phi Tiªu	0	1	3	\spr\item\equip\rangeweapon\obj-adart35.spr	17	1	1	<color=yellow>¸m khÝ cña Lý M¹c SÇu<color><enter>		30000	10	0	28	42	42	29	98	98	167	50	50	31	99	99										36	120	33	155								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	1	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	2	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	3	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	4	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	5	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	6	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	7	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	8	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	9	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
L·nh HuyÕt Phi §ao	0	1	4	\spr\item\equip\rangeweapon\obj-adart33.spr	17	1	1	<color=yellow>TiÓu lý phi ®ao - Vò khÝ cña Lý TÇm Hoan<color><enter>		30000	10	0	28	44	44	29	100	100	167	30	30	31	99	99										36	120	33	120								
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	1	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	2	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	3	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	4	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	5	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	6	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	7	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	8	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	9	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
Né Liªn Tô TiÔn	0	1	5	\spr\item\equip\rangeweapon\obj-adart34.spr	17	2	2	<color=yellow>Khæng T­íc S¬n Trang - Thiªn h¹ ®Ö nhÊt ¸m khÝ <color><enter>		30000	10	0	28	46	46	29	102	102	167	50	50	31	99	99										36	120	32	60	33	210						
