㈨匹钡号	㈨匹部件钡号	说明
89	14	飞云，顶级堑白
90	14	飞云，顶级堑白
91	14	飞云，顶级堑白
92	15	车龙驹，顶级血红
93	15	车龙驹，顶级血红
94	15	车龙驹，顶级血红
95	15	车龙驹，顶级血红
96	15	车龙驹，顶级血红
97	15	车龙驹，顶级血红
98	15	车龙驹，顶级血红
99	15	车龙驹，顶级血红
100	15	车龙驹，顶级血红
101	15	车龙驹，顶级血红
102	12	绝地，顶级黝黑
103	12	绝地，顶级黝黑
104	12	绝地，顶级黝黑
105	12	绝地，顶级黝黑
106	12	绝地，顶级黝黑
107	12	绝地，顶级黝黑
108	12	绝地，顶级黝黑
109	12	绝地，顶级黝黑
110	12	绝地，顶级黝黑
111	12	绝地，顶级黝黑
112	17	逾辉，顶级血红
113	17	逾辉，顶级血红
114	17	逾辉，顶级血红
115	17	逾辉，顶级血红
116	17	逾辉，顶级血红
117	17	逾辉，顶级血红
118	17	逾辉，顶级血红
119	17	逾辉，顶级血红
120	17	逾辉，顶级血红
121	17	逾辉，顶级血红
122	12	腾雾，顶级棕黄
123	12	腾雾，顶级棕黄
124	12	腾雾，顶级棕黄
125	12	腾雾，顶级棕黄
126	12	腾雾，顶级棕黄
127	12	腾雾，顶级棕黄
128	12	腾雾，顶级棕黄
129	12	腾雾，顶级棕黄
130	12	腾雾，顶级棕黄
131	12	腾雾，顶级棕黄
132	19	超光，顶级棕红
133	19	超光，顶级棕红
134	19	超光，顶级棕红
135	19	超光，顶级棕红
136	19	超光，顶级棕红
137	19	超光，顶级棕红
138	19	超光，顶级棕红
139	19	超光，顶级棕红
140	19	超光，顶级棕红
141	19	超光，顶级棕红
142	20	虎王
143	20	虎王
144	20	虎王
145	20	虎王
146	20	虎王
147	20	虎王
148	20	虎王
149	20	虎王
150	20	虎王
151	20	虎王
152	21	火睛金虎王
153	21	火睛金虎王
154	21	火睛金虎王
155	21	火睛金虎王
156	21	火睛金虎王
157	21	火睛金虎王
158	21	火睛金虎王
159	21	火睛金虎王
160	21	火睛金虎王
161	21	火睛金虎王
162	22	金睛白虎王
163	22	金睛白虎王
164	22	金睛白虎王
165	22	金睛白虎王
166	22	金睛白虎王
167	22	金睛白虎王
168	22	金睛白虎王
169	22	金睛白虎王
170	22	金睛白虎王
171	22	金睛白虎王
172	23	龙睛黑虎王
173	23	龙睛黑虎王
174	23	龙睛黑虎王
175	23	龙睛黑虎王
176	23	龙睛黑虎王
177	23	龙睛黑虎王
178	23	龙睛黑虎王
179	23	龙睛黑虎王
180	23	龙睛黑虎王
181	23	龙睛黑虎王
182	24	汗血龙驹
183	24	汗血龙驹
184	24	汗血龙驹
185	24	汗血龙驹
186	24	汗血龙驹
187	24	汗血龙驹
188	24	汗血龙驹
189	24	汗血龙驹
190	24	汗血龙驹
191	24	汗血龙驹
192	13	风云白㈨
193	13	风云白㈨
194	13	风云白㈨
195	13	风云白㈨
196	13	风云白㈨
197	13	风云白㈨
198	13	风云白㈨
199	13	风云白㈨
200	13	风云白㈨
201	13	风云白㈨
202	13	风云战㈨
203	13	风云战㈨
204	13	风云战㈨
205	13	风云战㈨
206	13	风云战㈨
207	13	风云战㈨
208	13	风云战㈨
209	13	风云战㈨
210	13	风云战㈨
211	13	风云战㈨
212	13	风云神㈨
213	13	风云神㈨
214	13	风云神㈨
215	13	风云神㈨
216	13	风云神㈨
217	13	风云神㈨
218	13	风云神㈨
219	13	风云神㈨
220	13	风云神㈨
221	13	风云神㈨
222	25	狮子
223	25	狮子
224	25	狮子
225	25	狮子
226	25	狮子
227	25	狮子
228	25	狮子
229	25	狮子
230	25	狮子
231	25	狮子
232	26	㈡驼
233	26	㈡驼
234	26	㈡驼
235	26	㈡驼
236	26	㈡驼
237	26	㈡驼
238	26	㈡驼
239	26	㈡驼
240	26	㈡驼
241	26	㈡驼
242	27	草牡㈨
243	27	草牡㈨
244	27	草牡㈨
245	27	草牡㈨
246	27	草牡㈨
247	27	草牡㈨
248	27	草牡㈨
249	27	草牡㈨
250	27	草牡㈨
251	27	草牡㈨
252	28	梅花⒐
253	28	梅花⒐
254	28	梅花⒐
255	28	梅花⒐
256	28	梅花⒐
257	28	梅花⒐
258	28	梅花⒐
259	28	梅花⒐
260	28	梅花⒐
261	28	梅花⒐
262	29	扬沙
263	29	扬沙
264	29	扬沙
265	29	扬沙
266	29	扬沙
267	29	扬沙
268	29	扬沙
269	29	扬沙
270	29	扬沙
271	29	扬沙
272	30	御风
273	30	御风
274	30	御风
275	30	御风
276	30	御风
277	30	御风
278	30	御风
279	30	御风
280	30	御风
281	30	御风
282	31	追电
283	31	追电
284	31	追电
285	31	追电
286	31	追电
287	31	追电
288	31	追电
289	31	追电
290	31	追电
291	31	追电
292	32	流星
293	32	流星
294	32	流星
295	32	流星
296	32	流星
297	32	流星
298	32	流星
299	32	流星
300	32	流星
301	32	流星
302	13	翻羽，顶级雪白
303	13	翻羽，顶级雪白
304	13	翻羽，顶级雪白
305	13	翻羽，顶级雪白
306	13	翻羽，顶级雪白
307	13	翻羽，顶级雪白
308	13	翻羽，顶级雪白
309	13	翻羽，顶级雪白
310	13	翻羽，顶级雪白
311	13	翻羽，顶级雪白
312	15	车龙驹，顶级血红
313	15	车龙驹，顶级血红
314	15	车龙驹，顶级血红
315	15	车龙驹，顶级血红
316	15	车龙驹，顶级血红
317	15	车龙驹，顶级血红
318	15	车龙驹，顶级血红
319	15	车龙驹，顶级血红
320	15	车龙驹，顶级血红
321	15	车龙驹，顶级血红
322	19	超光，顶级棕红
323	19	超光，顶级棕红
324	19	超光，顶级棕红
325	19	超光，顶级棕红
326	19	超光，顶级棕红
327	19	超光，顶级棕红
328	19	超光，顶级棕红
329	19	超光，顶级棕红
330	19	超光，顶级棕红
331	19	超光，顶级棕红
332	33	蓝麟神⒐
333	33	蓝麟神⒐
334	33	蓝麟神⒐
335	33	蓝麟神⒐
336	33	蓝麟神⒐
337	33	蓝麟神⒐
338	33	蓝麟神⒐
339	33	蓝麟神⒐
340	33	蓝麟神⒐
341	33	蓝麟神⒐
