STT	Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime	TempImg	PhysicalDamageBase
54	Tèng Phã t­íng 1	3	6	555	2			130				enemy021	0	0	0	0	0	28	28	36	11	24	12	53	1	47	1	47	1	47	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	50	10	0	0	20	0	0	0						90	75	60	75	75	1080	100		36		0
55	Tèng Phã t­íng 2	3	6	555	2			131				enemy022	0	0	0	0	0	33	43	24	11	22	12	53	1	119	1	119	1	119	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	50	10	0	0	20	0	0	0						75	60	75	75	90	1080	100		36		0
56	Kim Phã t­íng 1	3	6	555	2			132				enemy023	0	0	0	0	0	32	55	38	14	31	12	53	1	65	1	65	1	65	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				7	7	18	18	400	50	700	1	50	50	10	0	0	20	0	0	0						75	90	75	60	75	1080	100		36		0
57	Kim Phã t­íng 2	3	6	555	2			133				enemy024	0	0	0	0	0	24	40	32	13	24	12	53	1	139	1	139	1	139	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	50	10	0	0	20	0	0	0						60	75	75	90	75	1080	100		36		0
58	Tèng Cung binh 2	3	6	555	1			135				enemy026	0	0	0	0	0	25	31	30	10	24	12	201	1	201	1	201	1	201	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	70	40	20	0	0	0	10	0	0						75	75	90	75	60	1080	100		36		0
59	Kim Cung binh 2	3	6	555	1			137				enemy028	0	0	0	0	0	24	28	31	10	26	12	201	1	201	1	201	1	201	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	50	30	50	50	50	0	0	20	0						90	75	60	75	75	1080	100		36		0
60	Tèng ®ao binh 1	3	6	555	1			138				enemy029	0	0	0	0	0	33	36	23	13	26	12	53	1	53	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	40	30	80	70	50	0	0	10	0						75	60	75	75	90	1080	100		36		0
61	Kim ®ao binh 1	3	6	555	1			140				enemy031	0	0	0	0	0	28	33	30	10	23	12	53	1	53	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	50	30	50	50	40	0	0	20	0						75	90	75	60	75	1080	100		36		0
62	Tèng th­¬ng qu©n 2	3	6	555	1			143				enemy034	0	0	0	0	0	24	46	28	11	22	11	1	1	1	1	1	1	1	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	60	30	80	70	50	0	0	0	20						75	75	75	75	75	1080	100		36		0
63	Kim th­¬ng qu©n 2	3	6	555	1			145				enemy036	0	0	0	0	0	24	43	30	10	21	12	1	1	1	1	1	1	1	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	50	30	50	50	40	0	0	20	0						75	75	75	75	75	1080	100		36		0
64	ThiÕu L©m Ph­¬ng tr­îng	3	6	555				146				enemy037	0	0	0	0	0	38	38																																												400		700																						100		36		0
65	ThiÕu L©m Kh«ng TÞch	3	6	555				147				enemy038	0	0	0	0	0	25	26																																												400		700																						100		36		0
66	ThiÕu L©m Kh«ng DiÖt	3	6	555				148				enemy039	0	0	0	0	0	27	24																																												400		700																						100		36		0
67	Giíi LuËt ViÖn ®Çu täa	3	6	555				149				enemy040	0	0	0	0	0	33	40																																												400		700																						100		36		0
68	§¹t Ma viÖn ®Çu täa	3	6	555				150				enemy041	0	0	0	0	0	19	30																																												400		700																						100		36		0
69	Chøng §¹o viÖn ®Çu täa	3	6	555				151				enemy042	0	0	0	0	0	26	22																																												400		700																						100		36		0
70	La H¸n ®­êng ®Çu täa	3	6	555				152				enemy043	0	0	0	0	0	28	36																																												400		700																						100		36		0
71	Bµn Nh­îc ®­êng ®Çu täa	3	6	555				153				enemy044	0	0	0	0	0	20	28																																												400		700																						100		36		0
72	Tµng Kinh c¸c ®Çu täa	3	6	555				154				enemy045	0	0	0	0	0	20	45																																												400		700																						100		36		0
73	Vâ §ang Ch­ëng m«n	3	6	555				155				enemy046	0	0	0	0	0	31	31																																												400		700																						100		36		0
74	Vâ §ang Hé ph¸p DiÖp TiÕp Mü 	3	6	555				156				enemy047	0	0	0	0	0	33	33					245	1	245	1	245	1	245	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100						10	10	400	100	400	1	0	100	0	0	0	100	0								100	100	100	100	100	1	100		36		0
75	Vâ §ang Hé ph¸p Tõ §¹i Nh¹c	3	6	555				157				enemy048	0	0	0	0	0	27	29																																												400		700																						100		36		0
76	Vâ §ang Hé ph¸p Chu V©n TuyÒn	3	6	555				158				enemy049	0	0	0	0	0	30	31																																												400		700																						100		36		0
77	Vâ §ang Hé ph¸p §¬n T­ Nam	3	6	555				159				enemy050	0	0	0	0	0	36	40																																												400		700																						100		36		0
78	Vâ §ang Hé ph¸p Lý Thiªn Môc	3	6	555				160				enemy051	0	0	0	0	0	27	28																																												400		700																						100		36		0
79	Vâ §ang Hé ph¸p §µo Th¹ch M«n	3	6	555				161				enemy052	0	0	0	0	0	33	38																																												400		700																						100		36		0
80	Vâ §ang ThÞ §ång Thanh Phong	3	6	555				162				enemy053	0	0	0	0	0	28	32																																												400		700																						100		36		0
81	Vâ §ang ThÞ §ång Minh NguyÖt	3	6	555				163				enemy054	0	0	0	0	0	30	30																																												400		700																						100		36		0
82	Nga Mi Ch­ëng m«n	3	6	555				164				enemy055	0	0	0	0	0	32	28																																												400		700																						100		36		0
83	Nga Mi Ni C« DiÖu Nh­ 	3	6	555				165				enemy056	0	0	0	0	0	37	38					246	1	246	1	246	1	246	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100						10	10	400	100	400	1	0	100	0	0	0	100	0								100	100	100	100	100	1	100		36		0
84	Nga Mi Ni C« DiÖu Èn	3	6	555				166				enemy057	0	0	0	0	0	31	31																																												400		700																						100		36		0
85	B¸i NguyÖt Tiªn Tö 	3	6	555				167				enemy058	0	0	0	0	0	25	24																																												400		700																						100		36		0
86	ChiÕt Mai Tiªn Tö 	3	6	555				168				enemy059	0	0	0	0	0	31	31																																												400		700																						100		36		0
87	Hoµnh Ba Tiªn Tö 	3	6	555				169				enemy060	0	0	0	0	0	31	31																																												400		700																						100		36		0
88	PhÊt V©n Tiªn Tö 	3	6	555				170				enemy061	0	0	0	0	0	30	32																																												400		700																						100		36		0
89	¸nh TuyÕt Tiªn Tö 	3	6	555				171				enemy062	0	0	0	0	0	28	24																																												400		700																						100		36		0
90	U Lan Tiªn Tö 	3	6	555				172				enemy063	0	0	0	0	0	24	32																																												400		700																						100		36		0
91	Di Quang Tiªn Tö 	3	6	555				173				enemy064	0	0	0	0	0	24	26																																												400		700																						100		36		0
92	C«n L«n Ch­ëng m«n	3	6	555				174				enemy065	0	0	0	0	0	24	49																																												400		700																						100		36		0
93	C«n L«n Hé ph¸p Thanh Liªn Tö 	3	6	555				175				enemy066	0	0	0	0	0	24	24																																												400		700																						100		36		0
94	C«n L«n Hé ph¸p Ngäc Hoµnh Tö 	3	6	555				176				enemy067	0	0	0	0	0	36	36																																												400		700																						100		36		0
95	C«n L«n Hé ph¸p Th¸n Tøc L·o Nh©n	3	6	555				177				enemy068	0	0	0	0	0	24	54																																												400		700																						100		36		0
96	C«n L«n Hé ph¸p §ång TÞch Nhan	3	6	555				178				enemy069	0	0	0	0	0	21	36																																												400		700																						100		36		0
97	C«n L«n Hé ph¸p Chu KhuyÕt	3	6	555				179				enemy070	0	0	0	0	0	26	31																																												400		700																						100		36		0
98	C¸i Bang bang chñ 	3	6	555				180				enemy071	0	0	0	0	0	32	50																																												400		700																						100		36		0
99	TruyÒn c«ng tr­ëng l·o	3	6	555				181				enemy072	0	0	0	0	0	30	35																																												400		700																						100		36		0
100	ChÊp ph¸p tr­ëng l·o	3	6	555				182				enemy073	0	0	0	0	0	30	46																																												400		700																						100		36		0
101	Ch­ëng B¸t tr­ëng l·o	3	6	555				183				enemy074	0	0	0	0	0	19	24																																												400		700																						100		36		0
102	Ch­ëng Bæng tr­ëng l·o	3	6	555				184				enemy075	0	0	0	0	0	30	27																																												400		700																						100		36		0
103	§Ö tö 5 tói	3	6	555				185				enemy076	0	0	0	0	0	40	40																																												400		700																						100		36		0
104	§­êng M«n Ch­ëng m«n	3	6	555				186				enemy077	0	0	0	0	0	26	33																																												400		700																						100		36		0
105	Truy Hån TÈu 	3	6	555				187				enemy078	0	0	0	0	0	27	27																																												400		700																						100		36		0
106	Tiªu Nhiªm TÈu	3	6	555				188				enemy079	0	0	0	0	0	30	35																																												400		700																						100		36		0
107	TuyÖt Xu©n TÈu 	3	6	555				189				enemy080	0	0	0	0	0	28	44																																												400		700																						100		36		0
108	B¹ch Bµo TÈu 	3	6	555				190				enemy081	0	0	0	0	0	30	30																																												400		700																						100		36		0
109	§­êng NhÊt TrÇn	3	6	555				191				enemy082	0	0	0	0	0	35	28																																												400		700																						100		36		0
110	§­êng BÊt NhiÔm	3	6	555				192				enemy083	0	0	0	0	0	32	28																																												400		700																						100		36		0
111	Thiªn V­¬ng  bang chñ 	3	6	555				193				enemy084	0	0	0	0	0	28	36																																												400		700																						100		36		0
112	Thiªn Hé ph¸p 	3	6	555				194				enemy085	0	0	0	0	0	35	33																																												400		700																						100		36		0
113	§Þa Hé ph¸p 	3	6	555				195				enemy086	0	0	0	0	0	30	35																																												400		700																						100		36		0
114	TiÒn Sø 	3	6	555				196				enemy087	0	0	0	0	0	30	30																																												400		700																						100		36		0
115	H÷u Sø 	3	6	555				197				enemy088	0	0	0	0	0	28	28					244	1	244	1	244	1	244	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100						10	10	400	100	400	1	0	100	0	0	0	100	0								100	100	100	100	100	1	100		36		0
